# DRAP Tabular Values
# Product: D-Region Absorption         S:\DRAP Archive\SWX_DRAP20_C_SWPC_20170907100300_GLOBAL.txt
# Product Valid At : 2017-09-07 10:03 UTC
#
# Prepared by the U.S. Dept. of Commerce, NOAA, Space Weather Prediction Center.
# Please send comments and suggestions to SWPC.Webmaster@noaa.gov
#
# Estimated Recovery Time : No Estimate
#
#  X-RAY Message : Elevated X-ray flux
#
#  X-RAY Warning :  
#
#  Proton Message : Moderate Proton Flux
#
#  Proton Warning : 
#
# Frequency (MHz) as a function of Latitude and Longitude
#
      -178 -174 -170 -166 -162 -158 -154 -150 -146 -142 -138 -134 -130 -126 -122 -118 -114 -110 -106 -102  -98  -94  -90  -86  -82  -78  -74  -70  -66  -62  -58  -54  -50  -46  -42  -38  -34  -30  -26  -22  -18  -14  -10   -6   -2    2    6   10   14   18   22   26   30   34   38   42   46   50   54   58   62   66   70   74   78   82   86   90   94   98  102  106  110  114  118  122  126  130  134  138  142  146  150  154  158  162  166  170  174  178
------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
 89 | 98.9 98.9 98.9 98.9 98.9 98.9 98.9 98.9 98.9 98.9 98.9 98.9 98.9 98.9 98.9 98.9 98.9 98.9 **** **** **** **** **** **** **** **** **** **** **** **** **** **** **** **** **** **** **** **** **** **** **** **** **** **** **** **** **** **** **** **** **** **** **** **** **** **** **** **** **** **** **** **** **** **** **** **** **** **** **** **** **** **** **** **** **** **** **** **** **** **** **** **** **** **** **** **** **** 98.9 98.9 98.9
 87 | 94.5 94.5 94.5 94.5 94.5 92.3 92.3 92.3 92.3 92.3 94.5 94.5 94.5 94.5 94.5 94.5 94.6 94.6 96.7 96.7 96.7 96.8 96.8 98.9 98.9 98.9 98.9 **** **** **** **** **** **** **** **** **** **** **** **** **** **** **** **** **** **** **** **** **** **** **** **** **** **** **** **** **** **** **** **** **** **** **** **** **** **** **** **** **** **** **** **** **** **** **** **** **** **** **** 98.9 98.9 98.9 98.9 96.8 96.7 96.7 96.7 96.7 94.6 94.5 94.5
 85 | 90.1 87.8 87.8 87.8 87.8 87.8 87.8 87.8 87.8 87.8 87.8 87.8 87.8 87.8 90.1 90.1 90.1 90.1 92.3 92.3 92.3 94.5 94.5 96.7 96.7 96.8 98.9 98.9 **** **** **** **** **** **** **** **** **** **** **** **** **** **** **** **** **** **** **** **** **** **** **** **** **** **** **** **** **** **** **** **** **** **** **** **** **** **** **** **** **** **** **** **** **** **** **** **** **** 98.9 98.9 96.8 96.7 96.7 94.5 94.5 92.3 92.3 92.3 90.1 90.1 90.1
 83 | 83.2 83.2 83.2 80.9 80.9 80.9 80.9 80.9 80.9 80.9 80.9 80.9 83.2 83.2 83.2 83.2 85.5 85.5 87.8 87.8 90.1 90.1 92.3 92.3 94.5 96.7 96.8 98.9 98.9 **** **** **** **** **** **** **** **** **** **** **** **** **** **** **** **** **** **** **** **** **** **** **** **** **** **** **** **** **** **** **** **** **** **** **** **** **** **** **** **** **** **** **** **** **** **** **** 98.9 98.9 96.7 96.7 94.5 92.3 92.3 90.1 90.1 87.8 87.8 85.5 85.5 83.2
 81 | 78.5 76.1 76.1 76.1 76.1 76.1 73.7 73.7 73.7 76.1 76.1 76.1 76.1 76.1 78.5 78.5 80.9 80.9 83.2 83.2 85.5 87.8 87.8 90.1 92.3 94.5 94.6 96.8 98.9 **** **** **** **** **** **** **** **** **** **** **** **** **** **** **** **** **** **** **** **** **** **** **** **** **** **** **** **** **** **** **** **** **** **** **** **** **** **** **** **** **** **** **** **** **** **** **** 98.9 96.7 94.6 94.5 92.3 90.1 87.8 87.8 85.5 83.2 83.2 80.9 80.9 78.5
 79 | 71.2 71.2 71.2 68.7 68.7 68.7 68.7 68.7 68.7 68.7 68.7 68.7 71.2 71.2 71.2 73.7 76.1 76.1 78.5 80.9 80.9 83.2 85.5 87.8 90.1 92.3 94.5 96.7 98.9 **** **** **** **** **** **** **** **** **** **** **** **** **** **** **** **** **** **** **** **** **** **** **** **** **** **** **** **** **** **** **** **** **** **** **** **** **** **** **** **** **** **** **** **** **** **** **** 98.9 96.7 94.5 92.3 90.1 87.8 85.5 83.2 80.9 80.9 78.5 76.1 76.1 73.7
 77 | 66.1 66.1 63.5 63.5 60.8 60.8 60.8 60.8 60.8 60.8 60.8 63.5 63.5 66.1 66.1 68.7 68.7 71.2 73.7 76.1 78.5 80.9 83.2 85.5 87.8 90.1 92.3 94.6 96.8 **** **** **** **** **** **** **** **** **** **** **** **** **** **** **** **** **** **** **** **** **** **** **** **** **** **** **** **** **** **** **** **** **** **** **** **** **** **** **** **** **** **** **** **** **** **** **** 96.7 94.5 92.3 90.1 87.8 85.5 83.2 80.9 78.5 76.1 73.7 71.2 68.7 68.7
 75 | 60.8 58.1 58.1 55.3 55.3 55.3 52.4 52.4 52.4 55.3 55.3 55.3 58.1 58.1 60.8 60.8 63.5 66.1 68.7 71.2 73.7 76.1 78.5 83.2 85.5 87.8 90.1 94.5 96.8 **** **** **** **** **** **** **** **** **** **** **** **** **** **** **** **** **** **** **** **** **** **** **** **** **** **** **** **** **** **** **** **** **** **** **** **** **** **** **** **** **** **** **** **** **** **** **** 96.7 94.5 90.1 87.8 85.5 83.2 78.5 76.1 73.7 71.2 68.7 66.1 63.5 60.8
 73 | 52.4 52.4 49.5 49.5 49.5 49.5 49.5 49.5 49.5 49.5 49.5 49.5 49.5 52.4 52.4 55.3 58.1 60.8 63.5 66.1 68.7 73.7 76.1 78.5 83.2 85.5 90.1 92.3 96.7 98.9 **** **** **** **** **** **** **** **** **** **** **** **** **** **** **** **** **** **** **** **** **** **** **** **** **** **** **** **** **** **** **** **** **** **** **** **** **** **** **** **** **** **** **** **** **** 98.9 96.7 92.3 90.1 85.5 83.2 78.5 76.1 73.7 68.7 66.1 63.5 60.8 58.1 55.3
 71 | 29.2 49.5 49.5 49.5 49.5 49.5 49.5 49.5 49.5 49.5 49.5 49.5 49.5 49.5 49.5 49.5 52.4 55.3 58.1 60.8 66.1 68.7 73.7 76.1 80.9 83.2 87.8 92.3 94.6 98.9 **** **** **** **** **** **** **** **** **** **** **** **** **** **** **** **** **** **** **** **** **** **** **** **** **** **** **** **** **** **** **** **** **** **** **** 97.5 97.5 97.4 88.6 88.5 81.6 81.5 76.6 69.1 63.9 52.7 49.7 46.5 37.7 35.5 33.0 30.8 28.5 26.0 28.1 25.2 26.4 25.6 24.4 24.8
